artist_id,name,genre,popularity_score
1,Shane Taylor,Hip-hop,45
2,Amber Allen,Hip-hop,37
3,Lawrence Woods,Classical,35
4,Derek Gamble,Classical,78
5,Mr. Dominic Robinson PhD,Rock,43
6,David Mata,Classical,69
7,Brian Smith,Classical,12
8,Brittany Warren,Classical,55
9,Amy Yang,Pop,50
10,David Church,Rock,55
11,Karen Acosta,Rock,90
12,Lisa Castro,Hip-hop,8
13,Brian Mathews,Hip-hop,48
14,Walter Roach,Hip-hop,33
15,Morgan Underwood,Classical,86
16,Michael Garcia,Classical,6
17,Kathryn Williams,Hip-hop,21
18,Emily Ramos,Classical,38
19,Kristina Morales,Jazz,14
20,Laura Jacobson,Jazz,59
21,Anne Barrett,Hip-hop,10
22,Kelli Yates,Jazz,8
23,Victoria Williams,Jazz,45
24,Lauren Turner,Hip-hop,96
25,Charles Owens,Pop,23
26,Stephen Jones,Pop,79
27,Lisa Holt,Hip-hop,26
28,Zachary Mosley,Classical,55
29,Elizabeth Bullock,Pop,30
30,Amy Camacho,Pop,2
31,Shirley Schmidt,Classical,90
32,Eric Bradley,Rock,82
33,Leslie Blake,Jazz,94
34,Gregory Romero,Classical,56
35,Caleb Bailey,Rock,67
36,Dr. Richard Harrison,Pop,96
37,Jack Andrews,Classical,81
38,Richard Weaver,Jazz,81
39,Annette Wagner,Classical,49
40,Robert Hawkins,Classical,91
41,Jared Castillo II,Classical,34
42,Kristi Webb,Classical,23
43,Jasmine Jones,Pop,86
44,Thomas Lewis,Rock,21
45,Angela Montoya,Rock,73
46,Robert Cruz,Hip-hop,42
47,Nicole Perry,Rock,18
48,Christina Gonzales,Rock,35
49,Matthew Lee,Jazz,60
50,Renee Mitchell,Hip-hop,85
